"filename", "language", "Dart", "comment", "blank", "total"
"d:\Code\planner\lib\add_tasks.dart", "Dart", 603, 27, 46, 676
"d:\Code\planner\lib\home_page.dart", "Dart", 327, 9, 24, 360
"d:\Code\planner\lib\main.dart", "Dart", 155, 8, 10, 173
"d:\Code\planner\lib\misc\button.dart", "Dart", 58, 0, 4, 62
"d:\Code\planner\lib\misc\calendar.dart", "Dart", 267, 27, 47, 341
"d:\Code\planner\lib\misc\colors.dart", "Dart", 8, 0, 2, 10
"d:\Code\planner\lib\misc\duration_format.dart", "Dart", 70, 6, 5, 81
"d:\Code\planner\lib\misc\fonts.dart", "Dart", 33, 0, 6, 39
"d:\Code\planner\lib\misc\generate_plan.dart", "Dart", 199, 16, 30, 245
"d:\Code\planner\lib\misc\get_data.dart", "Dart", 289, 19, 42, 350
"d:\Code\planner\lib\misc\multislider.dart", "Dart", 608, 38, 125, 771
"d:\Code\planner\lib\misc\schedule_view.dart", "Dart", 97, 6, 5, 108
"d:\Code\planner\lib\schedule.dart", "Dart", 204, 9, 23, 236
"d:\Code\planner\lib\settings.dart", "Dart", 249, 2, 7, 258
"d:\Code\planner\lib\tasks.dart", "Dart", 337, 19, 23, 379
"Total", "-", 3504, 186, 399, 4089
