"filename", "language", "Dart", "comment", "blank", "total"
"d:\Code\planner\lib\add_tasks.dart", "Dart", 98, 3, 10, 111
"d:\Code\planner\lib\home_page.dart", "Dart", 2, 0, 1, 3
"d:\Code\planner\lib\misc\generate_plan.dart", "Dart", 23, 1, 4, 28
"d:\Code\planner\lib\misc\get_data.dart", "Dart", 12, 0, 1, 13
"d:\Code\planner\lib\schedule.dart", "Dart", 41, 1, -1, 41
"d:\Code\planner\lib\settings.dart", "Dart", 2, 1, -1, 2
"d:\Code\planner\lib\tasks.dart", "Dart", 11, 1, 1, 13
"Total", "-", 189, 7, 15, 211
